CountryName,GiniCoff,IncomePerPeerson,InvestmentShareOfGDP,TaxShareOfGDP,"Estimated average age at marriage, women","Estimates, 1950 - 2020: Annually interpolated demographic indicators - Total fertility (live births per woman)",Deaths - Self-harm - Sex: Both - Age: All Ages (Percent),Life satisfaction in Cantril Ladder (World Happiness Report 2019),"Agriculture, value added per worker (constant 2010 US$)",UN Population Division (Median Age) (2017),Life expectancy,Number of people employed in agriculture  (Herrendorf et al. data),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Pupil-teacher ratio in primary education (headcount basis),Tax Revenue (Piketty (2014)),Public Expenditure on Education (Tanzi & Schuktnecht (2000)),"Real GDP per capita in 2011US$, multiple benchmarks (Maddison Project Database (2018))",Income share held by highest 10%,Population density (people per sq. km of land area)
Ghana,,,,,23.799999,4.234,0.7971503027200261,5.608199596,1981.09210366091,,61.381,,4.47200012207031,31.0422306060791,,,3283.0,,110.406064867716
Greenland,,,,,31.5,,9.176565321764356,,,,70.711,,,,,,,,0.138603971251066
Hong Kong,,,,,30.299999,1.151,,5.474010944,15485.5497603693,,83.109,,3.42000007629395,14.7997398376465,,,44532.0,,6734.85714285714
Iran,,,,,23.5,1.866,1.4629018027757668,4.767507076,8241.14082900005,,74.352,,12.3000001907349,,,,18024.0,,46.3491134359881
Iraq,,,,,22.0,4.301,1.2333601570379238,4.725366116,4536.89884756896,,68.848,,8.20800018310547,,,,11484.0,,73.0499470436544
Isle of Man,,,,,30.700001,,,,,,80.239,,,,,,,,141.682456140351
Korea,,,,,29.1,,,,,,,,,,,,,,
Kosovo,,,,,25.200001,,,4.859501839,,,,,,,,,,22.3,164.508128961146
Laos,,,,,20.5,3.056,1.1154294070897257,4.703749657,727.132371265087,,64.797,,0.700999975204468,26.8085193634033,,,4401.0,,27.4414514731369
Liechtenstein,,,,,29.799999,,,,,,81.801,,,7.8365797996521,,,,,226.65
Macao,,,,,30.299999,1.131,,,,,82.938,,2.55999994277954,14.8470697402954,,,,,18375.8862876254
Marshall Islands,,,,,24.200001,,3.0867650578515606,,,,71.686,,,,,,,,291.9
Mauritania,,,,,21.6,4.939,0.6718483126672511,4.784804344,1141.07762714885,,62.799,,10.1219997406006,39.2944297790527,,,3104.0,,3.60693897351315
Montenegro,,,,,27.1,1.741,1.3681943159637044,5.223116875,32069.4321917002,,75.505,,19.7099990844727,,,,15747.0,24.7,46.1025278810409
Montserrat,,,,,31.9,,,,,,73.214,,,,,,,,
Niue,,,,,24.6,,,,,,72.575,,,,,,,,
Papua New Guinea,,,,,22.6,3.926,2.3016738589789294,,3664.91469779572,,62.316,,2.61999988555908,,,,,,16.0520867376231
Rwanda,,,,,24.4,4.412,1.0096519878388086,4.097435951,435.283414781205,,64.523,,3.25399994850159,58.0943908691406,,,1449.0,,426.269598702878
Samoa,,,,,23.5,4.277,1.6425964355348135,,34395.7589890996,,71.906,,5.67999982833862,,,,,,66.3127208480565
Sint Maarten (Dutch part),,,,,28.0,,,,,,77.799,,,,,,,,983.382352941176
Tanzania,,,,,20.9,5.358,0.5561878152637854,4.073562145,652.770351142586,,59.525,,3.47000002861023,,,,2227.0,31.0,53.7038857529916
Tokelau,,,,,27.9,,,,,,80.078,,,,,,,,
Tonga,,,,,24.700001,3.864,0.83296175194498,,5092.05104199047,,70.148,,1.06500005722046,24.1260604858398,,,,,145.245833333333
Trinidad and Tobago,,,,,29.200001,1.804,1.6028362593096388,6.518745899,4709.35848049375,,72.17,,4.65999984741211,,,,29745.0,,260.192592592593
Uganda,,,,,20.0,5.983,0.6731533737460043,4.826001167,657.456418130463,,58.087,,3.84999990463257,47.776008605957,,,1890.0,,175.01320566527
Venezuela,,,,,22.9,2.444,1.6586832003058063,6.579789162,20346.165472549,,73.11,,7.84000015258789,,,,17746.0,,33.4031982313928
Africa,,,,,,4.787,,,,,59.263,,,,,,4487.0,,
Antigua and Barbuda,,,,,,1.989,0.492234473399226,,,,75.956,,,14.5120296478271,,,,,217.543181818182
Aruba,,,,,,1.779,,,,,75.158,,,15.0860900878906,,,,,566.961111111111
Asia,,,,,,2.242,,,,,71.309,,,,,,,,
"Asia, Central",,,,,,2.7430000000000003,,,,,,,,,,,,,
Australia & New Zealand,,,,,,1.951,,,,,,,,,,,,,
Bahamas,,,,,,1.847,0.5289681896574429,,14972.1276604941,,72.263,,14.5200004577637,,,,,,36.6201798201798
Barbados,,,,,,1.665,0.5686417752269047,,12379.9154269671,,78.456,,11.1400003433228,13.0866298675537,,,11870.0,,652.560465116279
Belize,,,,,,2.638,1.4360983722881109,,7202.13257680298,,72.57,,12.9309997558594,21.8992099761963,,,,,14.4319158263919
Bolivia,,,,,,3.143,1.0062987705934243,5.778874397,1518.37183468481,,68.521,,2.22000002861023,,,,5331.0,33.8,9.30337210375704
Cape Verde,,,,,,2.539,2.7736090215083062,,1126.75702190651,,71.243,,10.5769996643066,23.2553806304932,,,6295.0,,126.071215880893
Caribbean,,,,,,2.327,1.2858158488184157,,,,,,,,,,,,
Central America,,,,,,2.428,,,,,,,,,,,,,
Central and Southern Asia,,,,,,2.628,,,,,,,,,,,,,
Chad,,,,,,6.482,0.464610493242412,4.393482208,1375.15549747042,,51.424,,5.69999980926514,62.5905609130859,,,1661.0,32.4,9.75909386912325
Channel Islands,,,,,,1.586,,,,,81.688,,9.88599967956543,,,,,,844.721052631579
Comoros,,,,,,4.6930000000000005,0.859035894831338,3.838485956,2329.26137170703,,62.24,,4.42000007629395,27.7467308044434,,,1479.0,,379.671681891456
Cuba,,,,,,1.668,1.8337746869824807,,2441.11302061101,,78.4,,3.1800000667572,9.11032962799072,,,6928.0,,106.254278843005
Curacao,,,,,,2.148,,,,,77.283,,,,,,,,339.709459459459
Democratic Republic of Congo,,,,,,6.492999999999999,0.6396421642383046,4.516963959,240.106345787575,,57.427,,3.70099997520447,37.3709411621094,,,681.0,,29.4274925564059
Djibouti,,,,,,3.213,0.8186389395387852,4.369193554,,,60.667,,6.14599990844727,35.2351188659668,,,2590.0,,37.357075064711
Eastern Africa,,,,,,5.051,,,,,,,,,,,,,
Eastern Asia,,,,,,1.615,,,,,,,,,,,,,
Eastern Europe,,,,,,1.538,2.3951631900500785,,,,,,,,,,17939.0,,
Eastern and South-Eastern Asia,,,,,,1.832,,,,,,,,,,,,,
Ecuador,,,,,,2.59,1.973318629824266,5.795088291,3992.44306254055,,75.289,,3.46000003814697,18.1221904754639,,,9985.0,34.8,61.1103035915606
Eritrea,,,,,,4.486000000000001,1.1795635697599802,,,,62.732,,6.74599981307983,40.464298248291,,,,,44.3038613861386
Eswatini,,,,,,3.264,1.4577984355565134,4.867091179,2434.36803049991,,48.141,,27.5340003967285,30.4911003112793,,,7389.0,,71.2359302325581
Europe,,,,,,1.596,,,,,76.634,,,,,,,,
Europe and Northern America,,,,,,1.6969999999999998,,,,,,,,,,,,,
"Europe, Western",,,,,,1.661,,,,,,,,,,,,,
French Guiana,,,,,,3.478,,,,,79.001,,,,,,,,
French Polynesia,,,,,,2.07,,,,,75.844,,20.0090007781982,,,,,,73.7275956284153
Gabon,,,,,,4.129,1.1118820093295396,4.255400658,3166.12225131575,,62.168,,20.3659992218018,24.5309791564941,,,16403.0,,6.58633523499049
Gambia,,,,,,5.5520000000000005,0.7478576841370204,,1106.50475863405,,59.917,,9.39299964904785,37.6185417175293,,,1669.0,,172.565513833992
Georgia,,,,,,1.95,0.611721297965924,4.203030586,1090.27255820876,,71.773,,15.0600004196167,,,,8946.0,31.0,67.7945344483712
Grenada,,,,,,2.217,0.6270038608813712,,,,72.768,,,,,,,,309.044117647059
Guadeloupe,,,,,,2.215,,,,,80.232,,,,,,,,
Guam,,,,,,2.469,2.9847831981367428,,,,78.173,,13.3000001907349,,,,,,295.7
Guinea,,,,,,5.256,0.5773910393810101,4.044569492,483.682231101456,,57.387,,4.53700017929077,44.0814094543457,,,1347.0,,44.9095311736936
Guinea-Bissau,,,,,,4.987,0.753481589915827,,810.486081687753,,55.144,,6.31500005722046,,,,1413.0,,56.7622332859175
Guyana,,,,,,2.63,3.669235824244879,,8928.61347308783,,68.321,,10.7829999923706,24.5917205810547,,,,,3.80543561087122
Haiti,,,,,,3.3560000000000003,0.8212186041867608,4.844573975,973.049849544643,,60.879,,13.7180004119873,,,,1648.0,,368.107910014514
High income countries,,,,,,1.742,,,,,,,,,,,,,
Kenya,,,,,,4.248,0.919036289396267,4.405310154,1859.96928899098,,61.851,,11.9879999160767,,,,2712.0,,74.6509452858699
Kiribati,,,,,,3.822,2.9043083474785822,,,,66.072,,,,,,,,129.204938271605
Kyrgyzstan,,,,,,3.169,1.8659279729229223,4.921049118,1274.71676562125,,69.376,,8.52999973297119,24.916389465332,,,4142.0,23.5,28.7518248175182
Land-locked Developing Countries (LLDC),,,,,,4.423,,,,,,,,,,,,,
Latin America and the Caribbean,,,,,,2.165,,,,,74.167,,,,,,,,
Least Developed Countries,,,,,,4.408,,,,,,,,,,,,,
Less Developed Regions,,,,,,2.681,,,,,,,,,,,,,
"Less Developed Regions, excluding China",,,,,,3.016,,,,,,,,,,,,,
"Less Developed Regions, excluding Least Developed Countries",,,,,,2.4,,,,,,,,,,,,,
Libya,,,,,,2.466,0.7220253298042746,,,,71.956,,15.7930002212524,,,,12893.0,,3.51995464723735
Low-income countries,,,,,,5.0280000000000005,,,,,,,,,,,,,
Lower-middle-income countries,,,,,,2.92,,,,,,,,,,,,,
Madagascar,,,,,,4.52,0.7798940633115308,4.381415367,294.782026003538,,63.836,,2.24699997901917,43.2448616027832,,,1347.0,,37.3739014601363
Maldives,,,,,,2.171,1.157995463531753,,6408.97451806034,,76.293,,4.68100023269653,12.275110244751,,,,,1250.43666666667
Martinique,,,,,,2.008,,,,,80.883,,,,,,,,
Mayotte,,,,,,4.263999999999999,,,,,78.997,,,,,,,,
Melanesia,,,,,,3.794,,,,,,,,,,,,,
Micronesia (country),,,,,,3.402,2.4142386852326845,,,,66.646,,,,,,,,147.811428571429
Middle Africa,,,,,,6.045,,,,,,,,,,,,,
Middle-income countries,,,,,,2.411,,,,,,,,,,,,,
More Developed Regions,,,,,,1.6780000000000002,,,,,,,,,,,,,
Myanmar,,,,,,2.312,0.6510656348022857,,1294.81932080933,,63.983,,0.782000005245209,,,,3884.0,,77.3822207595402
New Caledonia,,,,,,2.218,,,,,75.994,,14.3559999465942,,,,,,13.914113785558
Niger,,,,,,7.428999999999999,0.3474873663814751,4.555829525,435.855200958955,,58.081,,0.319999992847443,39.0020790100098,,,799.0,26.4,13.4717265335123
No income group available,,,,,,2.596,,,,,,,,,,,,,
North Korea,,,,,,1.934,1.493293559620018,,,,70.012,,4.51599979400635,,,,1718.0,,205.317648035877
Northern Africa,,,,,,3.272,,,,,,,,,,,,,
Northern Africa and Western Asia,,,,,,3.079,,,,,,,,,,,,,
Northern America,,,,,,1.907,,,,,79.049,,,,,,,,
Northern Europe,,,,,,1.86,,,,,,,,,,,,,
Oceania,,,,,,2.479,2.220415991954663,,,,77.043,,,,,,,,
Oceania (excluding Australia and New Zealand),,,,,,3.708,,,,,,,,,,,,,
Panama,,,,,,2.613,1.2052406946719558,7.24808073,4020.41099368945,,76.989,,4.48000001907349,23.0111999511719,,,16762.0,40.0,49.8760021522733
Puerto Rico,,,,,,1.5719999999999998,0.997337143926274,,,,78.797,,15.9499998092651,12.0511302947998,,,33981.0,,414.738669673055
Qatar,,,,,,2.027,4.053467337328564,6.591604233,7878.92585879782,,79.26,,0.560000002384186,11.2795400619507,,,155533.0,,168.135572782084
Reunion,,,,,,2.402,,,,,79.173,,,,,,,,
Saint Lucia,,,,,,1.5219999999999998,1.0292191692388837,,2517.48862567883,,74.993,,18.8600006103516,17.6414604187012,,,10255.0,,284.970491803279
Saint Vincent and the Grenadines,,,,,,2.046,0.928891159792437,,13163.2885391577,,71.827,,18.5030002593994,,,,,,280.361538461538
Sao Tome and Principe,,,,,,4.677,0.4350432825688063,,2026.92243595139,,67.885,,14.1269998550415,29.7971305847168,,,3179.0,,186.25
Saudi Arabia,,,,,,2.8710000000000004,0.9351741010814508,6.699789524,34989.5074202286,,74.089,,5.76999998092651,11.0106201171875,,,48470.0,,13.1358567979569
Seychelles,,,,,,2.36,1.097946804847349,,,,72.976,,,13.2545700073242,,,21545.0,,190.089130434783
Slovakia,,,,,,1.361,1.432516518092097,5.945048332,37928.8614684468,,75.782,,13.6199998855591,15.0784101486206,,,22483.0,21.0,112.260522375645
Small Island Developing States (SIDS),,,,,,2.5780000000000003,,,,,,,,,,,,,
Solomon Islands,,,,,,4.413,2.2338454257736475,,,,70.985,,2.08100008964539,19.5272808074951,,,,,19.2788138620936
Somalia,,,,,,6.765,0.482086892087806,4.930571556,,,54.342,,6.02799987792969,,,,,,19.7735279114993
South America,,,,,,2.041,,,,,,,,,,,,,
South Eastern Asia,,,,,,2.364,,,,,,,,,,,,,
South Sudan,,,,,,5.2860000000000005,0.5588734602378281,,,,55.325,,11.6680002212524,49.8998413085938,,,,,
Southern Africa,,,,,,2.6660000000000004,,,,,,,,,,,,,
Southern Asia,,,,,,2.624,,,,,,,,,,,,,
Southern Europe,,,,,,1.433,,,,,,,,,,,,,
Sub-Saharan Africa,,,,,,5.197,0.6975616220556331,,1236.8170148431,,,,7.04739374040974,42.406120300293,,,,,38.1902079043944
Sudan,,,,,,4.824,0.6603066652913403,4.314456463,3928.11851052588,,63.171,,12.9980001449585,,,,3669.0,,19.961412037037
Syria,,,,,,3.29,0.6890473105257261,4.037889481,,,71.27,,,,,,5979.0,,
Taiwan,,,,,,1.0659999999999998,2.8957293205052843,6.308915138,,,78.961,,,,,,38565.0,,
Tajikistan,,,,,,3.603,0.9191625722650034,4.262671471,806.808003933871,,69.055,,11.1579999923706,23.2745609283447,,,3111.0,,55.8441626178908
Timor,,,,,,4.637,1.0059186436048395,,1701.78004149484,,67.477,,3.26099991798401,31.3548107147217,,,,,76.0943510423672
Turkmenistan,,,,,,2.892,1.4411753036208883,5.791754723,,,66.928,,3.74699997901917,,,,16518.0,,11.010280254506
United States Virgin Islands,,,,,,2.36,0.7845998872296662,,,,78.907,,8.11100006103516,,,,,,309.405714285714
Upper-middle-income countries,,,,,,1.856,,,,,,,,,,,,,
Vanuatu,,,,,,4.06,2.1270162041101672,,2483.08011915471,,69.272,,5.36999988555908,,,,,,19.8417555373257
Western Africa,,,,,,5.59,,,,,,,,,,,,,
Western Asia,,,,,,2.908,,,,,,,,,,,21298.0,,
Western Sahara,,,,,,2.572,,,,,67.797,,,,,,,,
World,,,,,,2.536,1.501077850012032,,2945.9311644247,,70.32,,5.60262410730942,24.1257400512695,,,13587.0,,54.0695870454486
Yemen,,,,,,4.553999999999999,0.8681760965281912,3.746255636,1781.26125689625,,65.768,,16.9899997711182,30.2527904510498,,,4088.0,,45.9348182661894
American Samoa,,,,,,,1.0900945488304727,,,,73.295,,,,,,,,276.6
Andean Latin America,,,,,,,1.1757461366618092,,,,,,,,,,,,
Andorra,,,,,,,1.667158701536933,,,,81.837,,,9.84527015686035,,,,,178.193617021277
Australasia,,,,,,,1.8124771623880056,,,,,,,,,,,,
Bermuda,,,,,,,0.6682875096333653,,,,81.284,,,8.94443988800049,,,,,1291.28
Central Asia,,,,,,,1.7661834420039035,,,,,,,,,,,,
Central Europe,,,,,,,1.539630101250096,,,,,,,,,,,,
"Central Europe, Eastern Europe, and Central Asia",,,,,,,2.0826629511682104,,,,,,,,,,,,
Central Latin America,,,,,,,1.2878165363634266,,,,,,,,,,,,
Central Sub-Saharan Africa,,,,,,,0.6907363035907501,,,,,,,,,,,,
Dominica,,,,,,,0.5346059229459288,,,,74.111,,,15.9256401062012,,,8944.0,,95.624
East Asia,,,,,,,1.4515524475476522,,,,,,,,,,8829.0,,
Eastern Sub-Saharan Africa,,,,,,,0.7377656527214156,,,,,,,,,,,,
England,,,,,,,0.9131344324549968,,,,,,,,,,,,
High SDI,,,,,,,1.8324691535291613,,,,,,,,,,,,
High-income,,,,,,,1.8136486276597903,,,,,,,,,,,,
High-income Asia Pacific,,,,,,,3.215073358981206,,,,,,,,,,,,
High-middle SDI,,,,,,,1.574168796363427,,,,,,,,,,,,
Latin America and Caribbean,,,,,,,1.1869246648772669,,,,,,,,,,,,
Low SDI,,,,,,,1.0490127515500527,,,,,,,,,,,,
Low-middle SDI,,,,,,,1.53550284672769,,,,,,,,,,,,
Middle SDI,,,,,,,1.4998591322654522,,,,,,,,,,,,
North Africa and Middle East,,,,,,,0.9719866939214572,,,,,,,,,,,,
North America,,,,,,,1.7220954329080602,,66705.6101987722,,,,8.79422989175753,14.4948596954346,,,,,18.971109227684
Northern Ireland,,,,,,,1.438589498351496,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,2.511246047407547,,,,74.014,,,,,,,,116.926086956522
Scotland,,,,,,,1.272838123705791,,,,,,,,,,,,
South Asia,,,,,,,1.994539488596092,,1300.38642507384,,,,3.33454065945123,35.8492813110352,,,,,346.593718177449
Southeast Asia,,,,,,,0.97260282090643,,,,,,,,,,,,
"Southeast Asia, East Asia, and Oceania",,,,,,,1.3202197778703435,,,,,,,,,,,,
Southern Latin America,,,,,,,1.6848219854688824,,,,,,,,,,,,
Southern Sub-Saharan Africa,,,,,,,1.1679943931685497,,,,,,,,,,,,
Tropical Latin America,,,,,,,1.0685892575007745,,,,,,,,,,,,
Wales,,,,,,,0.9607035524174669,,,,,,,,,,,,
Western Europe,,,,,,,1.3365278275907917,,,,,,,,,,38046.0,,
Western Sub-Saharan Africa,,,,,,,0.5473884176003891,,,,,,,,,,,,
Arab World,,,,,,,,,4913.66620267578,,,,10.2941182246238,20.0823993682861,,,,,26.7884111539717
Caribbean small states,,,,,,,,,6245.99103213628,,,,10.8103872410215,,,,,,17.3620402618254
Central Europe and the Baltics,,,,,,,,,7275.27044602544,,,,9.78969969493241,,,,,,94.3449884167646
Early-demographic dividend,,,,,,,,,1926.007538013,,,,5.02718795127273,,,,,,89.202260291387
East Asia & Pacific,,,,,,,,,3223.61801422004,,,,4.05225998140707,18.3684196472168,,,,,91.111548220675
East Asia & Pacific (IDA & IBRD),,,,,,,,,2830.13567329413,,,,4.01348791415332,,,,,,123.819251845736
East Asia & Pacific (excluding high income),,,,,,,,,2830.13567329413,,,,4.02054645864077,,,,,,124.440108658502
Euro area,,,,,,,,,37157.4742270951,,,,10.1039767538911,12.7661104202271,,,,,125.271835704229
Europe & Central Asia,,,,,,,,,11354.6624628136,,,,8.77461074660619,18.0184001922607,,,,,32.4701833622144
Europe & Central Asia (IDA & IBRD),,,,,,,,,6293.73839777616,,,,8.07322146132488,,,,,,19.2984849813089
Europe & Central Asia (excluding high income),,,,,,,,,6288.15455991436,,,,7.86826569821488,,,,,,17.7357552279538
European Union,,,,,,,,,23022.6908973198,,,,9.59336092769856,13.0495796203613,,,,,118.843520631926
Fragile and conflict affected situations,,,,,,,,,1086.25084466985,,,,7.59153051294356,,,,,,28.9954901100647
Heavily indebted poor countries (HIPC),,,,,,,,,737.51844547911,,,,5.83810590306294,42.4775199890137,,,,,32.8048733608149
High income,,,,,,,,,34580.3590135217,,,,7.88769075657564,14.1117496490479,,,,,31.7953412369174
IBRD only,,,,,,,,,2862.90465618717,,,,5.17369694541733,,,,,,64.4758276113202
IDA & IBRD total,,,,,,,,,2330.47315001298,,,,5.14192282210867,,,,,,61.4318816151347
IDA blend,,,,,,,,,2586.28557261306,,,,4.13410612427456,,,,,,78.1468683000113
IDA only,,,,,,,,,775.216012877122,,,,5.39435897879144,,,,,,46.1992738087412
IDA total,,,,,,,,,1180.54528514828,,,,5.01716613694713,,,,,,53.4061527542907
Late-demographic dividend,,,,,,,,,3549.09367383481,,,,4.98906637596532,,,,,,49.3172994255257
Latin America & Caribbean,,,,,,,,,5866.05073747265,,,,6.48294625739559,22.6510601043701,,,,,30.1133056830856
Latin America & Caribbean (IDA & IBRD),,,,,,,,,5943.20857382907,,,,6.49174831683264,,,,,,29.4931195374104
Latin America & Caribbean (excluding high income),,,,,,,,,5046.03004198297,,,,6.36251864641475,,,,,,32.6239433351368
Least developed countries: UN classification,,,,,,,,,714.443301082074,,,,5.2998744245761,41.5104789733887,,,,,43.1649027511441
Low & middle income,,,,,,,,,2274.4707487005,,,,5.08119468875641,26.3764095306396,,,,,63.2571618710886
Low income,,,,,,,,,543.933996197875,,,,5.99424742358298,43.8263282775879,,,,,44.1558629979845
Lower middle income,,,,,,,,,1721.72100758136,,,,4.3020307507177,30.7073497772217,,,,,123.310694982657
Middle East & North Africa,,,,,,,,,6029.00842298113,,,,10.4890539104826,21.4725208282471,,,,,35.2941648473282
Middle East & North Africa (IDA & IBRD),,,,,,,,,5146.16628566792,,,,11.8008536762053,,,,,,39.1296836458891
Middle East & North Africa (excluding high income),,,,,,,,,5150.51393609265,,,,11.8836226555582,,,,,,39.5568761803807
Middle income,,,,,,,,,2639.44079826207,,,,4.98149545207729,24.6056308746338,,,,,66.7599542050897
OECD members,,,,,,,,,23603.0511480925,,,,7.94582240682123,15.9614095687866,,,,,36.382481958756
Other small states,,,,,,,,,3011.27522048001,,,,11.0423755356543,,,,,,13.24670446963
Post-demographic dividend,,,,,,,,,29202.7528397476,,,,7.96563432608432,,,,,,34.2570758949472
Pre-demographic dividend,,,,,,,,,1395.33161702755,,,,6.19973192577129,,,,,,37.7348012642963
Small states,,,,,,,,,3363.93118270689,,,,10.7375988276985,,,,,,14.4701916787845
South Asia (IDA & IBRD),,,,,,,,,1300.38642507384,,,,3.33454065945123,,,,,,346.593718177449
Sub-Saharan Africa (IDA & IBRD),,,,,,,,,1236.8170148431,,,,7.04739374040974,,,,,,38.1902079043944
Sub-Saharan Africa (excluding high income),,,,,,,,,1236.8170148431,,,,7.04739374040974,,,,,,38.1872494061283
Upper middle income,,,,,,,,,4177.9124418456,,,,5.54913622100838,18.8528900146484,,,,,44.2780925957122
Americas,,,,,,,,,,,75.95720977,,,,,,,,
Anguilla,,,,,,,,,,,81.007,,,,,,,,
Bonaire Sint Eustatius and Saba,,,,,,,,,,,76.435,,,,,,,,
British Virgin Islands,,,,,,,,,,,77.817,,,,,,,,186.006666666667
Cayman Islands,,,,,,,,,,,82.72,,,12.0757598876953,,,,,235.745833333333
Cook Islands,,,,,,,,,,,74.489,,,,,,,,
Faeroe Islands,,,,,,,,,,,79.598,,,,,,,,34.8194842406877
Falkland Islands,,,,,,,,,,,80.286,,,,,,,,
Gibraltar,,,,,,,,,,,79.022,,,,,,,,3340.5
Monaco,,,,,,,,,,,84.462,,,,,,,,18748.5
Nauru,,,,,,,,,,,59.126,,,,,,,,502.85
Palau,,,,,,,,,,,71.695,,,,,,,,44.7804347826087
Saint Barthlemy,,,,,,,,,,,80.139,,,,,,,,
Saint Helena,,,,,,,,,,,79.882,,,,,,,,
Saint Kitts and Nevis,,,,,,,,,,,74.568,,,13.0566396713257,,,,,200.023076923077
Saint Martin (French part),,,,,,,,,,,80.035,,,,,,,,562.775735294118
Saint Pierre and Miquelon,,,,,,,,,,,80.077,,,,,,,,
San Marino,,,,,,,,,,,83.495,,,6.40573978424072,,,,,525.066666666667
Turks and Caicos Islands,,,,,,,,,,,79.191,,,,,,,,33.4010526315789
Tuvalu,,,,,,,,,,,64.935,,,,,,,,354.266666666667
Vatican,,,,,,,,,,,73.388,,,,,,,,
Wallis and Futuna,,,,,,,,,,,78.394,,,,,,,,
Pacific island small states,,,,,,,,,,,,,5.857900506328,,,,,,34.9340031152648
Syrian Arab Republic,,,,,,,,,,,,,14.8999996185303,,,,,,113.619740783096
East Asia & Pacific (all income levels),,,,,,,,,,,,,,18.3168697357178,,,,,
Europe & Central Asia (all income levels),,,,,,,,,,,,,,14.6331596374512,,,,,
Latin America & Caribbean (all income levels),,,,,,,,,,,,,,22.4471607208252,,,,,
Middle East & North Africa (all income levels),,,,,,,,,,,,,,19.5060005187988,,,,,
Sub-Saharan Africa (all income levels),,,,,,,,,,,,,,42.4005012512207,,,,,
Czechoslovakia,,,,,,,,,,,,,,,,,25289.0,,
Former USSR,,,,,,,,,,,,,,,,,17391.0,,
Former Yugoslavia,,,,,,,,,,,,,,,,,14540.0,,
Latin America,,,,,,,,,,,,,,,,,13899.0,,
Western Offshoots,,,,,,,,,,,,,,,,,48569.0,,
